State,Protected land (%),Overseas-born (%),Indigenous population (%),"Businesses per 1,000 people","Jobs per 1,000 people",House price-to-income ratio,Annual rent-to-income ratio,Monthly mortgage-to-monthly income ratio,Unemployment rate (%),Average weekly earnings ($),Population growth (%),Cost of living index (Australia=100)
Australian Capital Territory,55.9%,27.5%,2.0%,76.6,905.7,13.73,0.32,0.35,3.8,"$2,055.0",1.8,119.5
New South Wales,10.4%,27.9%,4.0%,105.7,822.0,18.15,0.40,0.47,3.8,"$1,986.0",2.0,118.8
Victoria,17.7%,27.9%,1.1%,105.7,837.4,13.78,0.35,0.41,4.3,"$1,882.0",2.7,98.4
South Australia,30.4%,22.8%,2.8%,87.6,806.4,12.75,0.29,0.34,4.2,"$1,741.0",1.5,82.6
Western Australia,31.1%,28.9%,4.0%,86.1,865.1,10.85,0.30,0.37,3.6,"$2,189.0",3.1,90.7
Northern Territory,24.6%,19.9%,30.0%,64.2,895.1,8.58,0.26,0.37,4.2,"$1,908.0",0.8,88.6
Other Territories,58.0%,27.5%,4.8%,301.2,0.0,,,,,,,58.6
Queensland,9.3%,20.9%,4.9%,91.4,835.9,13.50,0.35,0.38,4.0,"$1,864.0",2.5,94.6
Tasmania,42.1%,14.9%,5.9%,76.5,830.3,11.81,0.30,0.31,4.1,"$1,655.0",0.4,74.8
Australia,22.5%,25.8%,3.6%,97.9,835.3,14.17,0.35,0.41,4.0,"$1,923.4",2.3,100.0
